t,u0,u1
3.493493493493493585e+00,2.715937412766378678e+00,6.715144440090256017e-01
3.503503503503503591e+00,2.721839539203989577e+00,6.717793332054000643e-01
3.513513513513513598e+00,2.727623357627811718e+00,6.720971009545532171e-01
3.523523523523523604e+00,2.733294373191219151e+00,6.724613420848957190e-01
3.533533533533533610e+00,2.738858371698898786e+00,6.728655597033439406e-01
3.543543543543543617e+00,2.744288987316192863e+00,6.733309948923574817e-01
3.553553553553553623e+00,2.749564786506687675e+00,6.738739512964810885e-01
3.563563563563563630e+00,2.754688467335803193e+00,6.744897844366211093e-01
3.573573573573573636e+00,2.759662637718245826e+00,6.751740288700776027e-01
3.583583583583583643e+00,2.764489815418010199e+00,6.759223981905441159e-01
3.593593593593593649e+00,2.769172428048380041e+00,6.767307850281082393e-01
3.603603603603603656e+00,2.773712813071925964e+00,6.775952610492512740e-01
3.613613613613613662e+00,2.778113217800508572e+00,6.785120769568478982e-01
3.623623623623623669e+00,2.782375799395274463e+00,6.794776624901669448e-01
3.633633633633633675e+00,2.786502624866660227e+00,6.804886264248707350e-01
3.643643643643643681e+00,2.790495671074389783e+00,6.815417565730154115e-01
3.653653653653653688e+00,2.794356824727475708e+00,6.826340197830508272e-01
3.663663663663663694e+00,2.798087882384217906e+00,6.837625619398203236e-01
3.673673673673673701e+00,2.801690550452204942e+00,6.849247079645615077e-01
3.683683683683683707e+00,2.805166445188314484e+00,6.861179618149051418e-01
3.693693693693693714e+00,2.808517092698710638e+00,6.873400064848760316e-01
3.703703703703703720e+00,2.811743928938846615e+00,6.885887040048926933e-01
3.713713713713713727e+00,2.814848299713464286e+00,6.898620954417672424e-01
3.723723723723723733e+00,2.817831460676592847e+00,6.911584008987057270e-01
3.733733733733733740e+00,2.820694577331550157e+00,6.924760195153075726e-01
3.743743743743743746e+00,2.823438725030941843e+00,6.938135294675664699e-01
3.753753753753753752e+00,2.826064888976662193e+00,6.951696879678691543e-01
3.763763763763763759e+00,2.828573964219893266e+00,6.965434312649967374e-01
3.773773773773773765e+00,2.830966755661105783e+00,6.979338746441235974e-01
3.783783783783783772e+00,2.833243978050058232e+00,6.993403124268181559e-01
3.793793793793793778e+00,2.835406255985797319e+00,7.007622179710423227e-01
3.803803803803803785e+00,2.837454123916657966e+00,7.021992436711518293e-01
3.813813813813813791e+00,2.839388026140263310e+00,7.036512209578962285e-01
3.823823823823823798e+00,2.841208316803524703e+00,7.051181602984186725e-01
3.833833833833833804e+00,2.842915259902641711e+00,7.066002511962560240e-01
3.843843843843843811e+00,2.844509029283102119e+00,7.080978621913388560e-01
3.853853853853853817e+00,2.845989708639681925e+00,7.096115408599917851e-01
3.863863863863863823e+00,2.847357291516444899e+00,7.111420138149326942e-01
3.873873873873873830e+00,2.848611681306743026e+00,7.126901867052733985e-01
3.883883883883883836e+00,2.849752691253216952e+00,7.142571442165196460e-01
3.893893893893893843e+00,2.850780044447795980e+00,7.158441500705704508e-01
3.903903903903903849e+00,2.851693373831695855e+00,7.174526470257190924e-01
3.913913913913913856e+00,2.852492222195421423e+00,7.190842568766521170e-01
3.923923923923923862e+00,2.853176042178767080e+00,7.207407804544500030e-01
3.933933933933933869e+00,2.853744196270812772e+00,7.224241976265870502e-01
3.943943943943943875e+00,2.854195956809928880e+00,7.241366672969310470e-01
3.953953953953953881e+00,2.854530505983772670e+00,7.258805274057436030e-01
3.963963963963963888e+00,2.854746935829290067e+00,7.276582949296801495e-01
3.973973973973973894e+00,2.854844248232715653e+00,7.294726658817898279e-01
3.983983983983983901e+00,2.854823538021521667e+00,7.313223936726797048e-01
3.993993993993993907e+00,2.854695630043056820e+00,7.331881634130681391e-01
4.004004004004004358e+00,2.854463392327108551e+00,7.350661113715752926e-01
4.014014014014014364e+00,2.854128266682200543e+00,7.369551062737925706e-01
4.024024024024024371e+00,2.853691681577758210e+00,7.388540567100431167e-01
4.034034034034034377e+00,2.853155052144109138e+00,7.407619111353820340e-01
4.044044044044044384e+00,2.852519780172482644e+00,7.426776578695961639e-01
4.054054054054054390e+00,2.851787254115010661e+00,7.446003250972038634e-01
4.064064064064064397e+00,2.850958849084725522e+00,7.465289808674553385e-01
4.074074074074074403e+00,2.850035926855562618e+00,7.484627330943325330e-01
4.084084084084084409e+00,2.849019835862359074e+00,7.504007295565491287e-01
4.094094094094094416e+00,2.847911911200852852e+00,7.523421578975503232e-01
4.104104104104104422e+00,2.846713474627684981e+00,7.542862456255134962e-01
4.114114114114114429e+00,2.845425834560397327e+00,7.562322601133474320e-01
4.124124124124124435e+00,2.844050286077434375e+00,7.581795085986925420e-01
4.134134134134134442e+00,2.842588110918141897e+00,7.601273381839211973e-01
4.144144144144144448e+00,2.841040577482768281e+00,7.620751358361376182e-01
4.154154154154154455e+00,2.839408940832462758e+00,7.640223283871773186e-01
4.164164164164164461e+00,2.837694442689277174e+00,7.659683825336078833e-01
4.174174174174174468e+00,2.835898311436165109e+00,7.679128048367285242e-01
4.184184184184184474e+00,2.834021762116980980e+00,7.698551417225703020e-01
4.194194194194194480e+00,2.832065996436483157e+00,7.717949794818956821e-01
4.204204204204204487e+00,2.830032202760329518e+00,7.737319442701993122e-01
4.214214214214214493e+00,2.827921556115081003e+00,7.756657021077071335e-01
4.224224224224224500e+00,2.825735218188200726e+00,7.775959588793771582e-01
4.234234234234234506e+00,2.823474337328053085e+00,7.795224603348989145e-01
4.244244244244244513e+00,2.821140048543904211e+00,7.814449920886937795e-01
4.254254254254254519e+00,2.818733473505921960e+00,7.833633796199147570e-01
4.264264264264264526e+00,2.816255720545177255e+00,7.852774882724466998e-01
4.274274274274274532e+00,2.813707884653640967e+00,7.871872232549060877e-01
4.284284284284284539e+00,2.811091047484187477e+00,7.890925296406411382e-01
4.294294294294294545e+00,2.808406277350592006e+00,7.909933923677319179e-01
4.304304304304304551e+00,2.805654629227531949e+00,7.928898362389901200e-01
4.314314314314314558e+00,2.802837144750586429e+00,7.947819259219591759e-01
4.324324324324324564e+00,2.799954852216237189e+00,7.966697659489141436e-01
4.334334334334334571e+00,2.797008766581866812e+00,7.985535007168621524e-01
4.344344344344344577e+00,2.793999889465759612e+00,8.004333144875416250e-01
4.354354354354354584e+00,2.790929209147102519e+00,8.023094313874229444e-01
4.364364364364364590e+00,2.787797700565984638e+00,8.041821154077083422e-01
4.374374374374374597e+00,2.784606325323395026e+00,8.060516704043314551e-01
4.384384384384384603e+00,2.781356031681227137e+00,8.079184400979579905e-01
4.394394394394394610e+00,2.778047754562273930e+00,8.097828080739851719e-01
4.404404404404404616e+00,2.774682415550231873e+00,8.116451977825419606e-01
4.414414414414414622e+00,2.771260922889698275e+00,8.135060725384891667e-01
4.424424424424424629e+00,2.767784171786376479e+00,8.153659342025365575e-01
4.434434434434434635e+00,2.764253627666675150e+00,8.172230125648690668e-01
4.444444444444444642e+00,2.760671152306762632e+00,8.190747702125226182e-01
4.454454454454454648e+00,2.757038306654743920e+00,8.209202972234291851e-01
4.464464464464464655e+00,2.753356669458172590e+00,8.227586927837788888e-01
4.474474474474474661e+00,2.749627837264053021e+00,8.245890651880193323e-01
4.484484484484484668e+00,2.745853424418838618e+00,8.264105318388563770e-01
4.494494494494494674e+00,2.742035063068431366e+00,8.282222192472535882e-01
4.504504504504504681e+00,2.738174403158184500e+00,8.300232630324325678e-01
4.514514514514514687e+00,2.734273112432898944e+00,8.318128079218726212e-01
4.524524524524524693e+00,2.730332876436826428e+00,8.335900077513110906e-01
4.534534534534534700e+00,2.726355398513667705e+00,8.353540254647432439e-01
4.544544544544544706e+00,2.722342399806573443e+00,8.371040331144221636e-01
4.554554554554554713e+00,2.718295619258142892e+00,8.388392118608588577e-01
4.564564564564564719e+00,2.714216813610426104e+00,8.405587519728221491e-01
4.574574574574574726e+00,2.710107757404921713e+00,8.422618528273390082e-01
4.584584584584584732e+00,2.705970242982577822e+00,8.439477229096941091e-01
4.594594594594594739e+00,2.701806080483793338e+00,8.456155798134299406e-01
4.604604604604604745e+00,2.697617097848414414e+00,8.472646502403470281e-01
4.614614614614614752e+00,2.693405140815738896e+00,8.488941700005039337e-01
4.624624624624624758e+00,2.689172072924513213e+00,8.505033840122167010e-01
