epoch,parameter1,parameter2
585,-1.9985415,0.0010589686
586,-1.9985466,0.0010635727
587,-1.9985441,0.0010896052
588,-1.9985576,0.0010556967
589,-1.9985555,0.001040069
590,-1.9985557,0.0010440133
591,-1.9985678,0.0010285289
592,-1.9985676,0.0009937622
593,-1.9985672,0.0010394068
594,-1.9985669,0.0010565597
595,-1.9985656,0.0010239027
596,-1.9985813,0.0010581372
597,-1.9985863,0.0010248581
598,-1.9985863,0.0010525938
599,-1.9985851,0.0010730873
600,-1.9985911,0.0011250488
601,-1.998591,0.0011226078
602,-1.9985962,0.0010544349
603,-1.9985933,0.0010319481
604,-1.9985979,0.0010308753
605,-1.9986013,0.0010075436
606,-1.9986,0.001042103
607,-1.998607,0.001033574
608,-1.9986072,0.0010692829
609,-1.9986166,0.0010052595
610,-1.998605,0.0010033177
611,-1.9986048,0.0010188812
612,-1.9986106,0.0010702459
613,-1.998621,0.0010559871
614,-1.9986308,0.001025806
615,-1.9986241,0.0009953715
616,-1.9986221,0.0009800085
617,-1.9986202,0.000964535
618,-1.9986241,0.0010318968
619,-1.9986203,0.00101529
620,-1.998621,0.0010443957
621,-1.998629,0.001029649
622,-1.9986286,0.0009464647
623,-1.998626,0.00089719205
624,-1.9986318,0.0009225804
625,-1.9986235,0.0009435482
626,-1.9986228,0.0009828712
627,-1.9986265,0.0009860306
628,-1.9986291,0.00091319537
629,-1.998631,0.0009341161
630,-1.998638,0.00093225366
631,-1.9986398,0.0009413478
632,-1.9986429,0.0009352537
633,-1.9986371,0.0008884118
634,-1.9986392,0.00094226253
635,-1.9986484,0.00094543706
636,-1.9986475,0.00091093755
637,-1.9986426,0.00091368577
638,-1.998646,0.00092098076
639,-1.9986502,0.0009092945
640,-1.9986582,0.0009113213
641,-1.9986594,0.00088906335
642,-1.998658,0.00091507094
643,-1.9986575,0.0009597657
644,-1.998653,0.0009596769
645,-1.9986533,0.0009658009
646,-1.9986542,0.0009231617
647,-1.9986564,0.00088108063
648,-1.9986715,0.0008854167
649,-1.9986725,0.0009188592
650,-1.9986643,0.0009067775
651,-1.9986663,0.00085523824
652,-1.998667,0.0008538408
653,-1.9986652,0.000912003
654,-1.99866,0.00086578843
655,-1.9986502,0.00084878627
656,-1.9986489,0.0008595109
657,-1.9986585,0.0008972961
658,-1.9986614,0.0009166737
659,-1.9986619,0.000909351
660,-1.9986591,0.0009292838
661,-1.9986513,0.0008734937
