t,u1,u2,u3
2.2722723,0.80443114,-0.5341311,-0.986273
2.2822824,0.8085575,-0.5415763,-0.9772772
2.2922924,0.8126996,-0.54898995,-0.96810716
2.3023024,0.8168553,-0.55637044,-0.9587628
2.3123124,0.82102215,-0.56371623,-0.9492424
2.3223224,0.82519686,-0.57102424,-0.9395456
2.3323324,0.82937676,-0.5782935,-0.9296723
2.3423424,0.8335595,-0.5855227,-0.9196204
2.3523524,0.8377419,-0.59270865,-0.9093901
2.3623624,0.8419224,-0.5998488,-0.89898014
2.3723724,0.8460968,-0.60694236,-0.8883905
2.3823824,0.8502629,-0.61398643,-0.8776201
2.3923924,0.85441834,-0.62097937,-0.86666954
2.4024024,0.85855967,-0.6279178,-0.8555373
2.4124124,0.86268455,-0.6348,-0.84422374
2.4224224,0.86678964,-0.64162284,-0.83272874
2.4324324,0.87087286,-0.64838535,-0.8210524
2.4424424,0.8749305,-0.65508384,-0.80919474
2.4524524,0.8789606,-0.6617158,-0.7971553
2.4624624,0.8829602,-0.66827935,-0.78493464
2.4724724,0.8869259,-0.6747716,-0.7725331
2.4824824,0.8908557,-0.6811891,-0.7599512
2.4924924,0.8947467,-0.68753105,-0.747189
2.5025024,0.89859563,-0.69379324,-0.7342478
2.5125124,0.9024006,-0.6999734,-0.7211286
2.5225224,0.90615875,-0.7060688,-0.7078314
2.5325325,0.9098669,-0.71207756,-0.694358
2.5425425,0.91352296,-0.7179958,-0.6807091
2.5525525,0.91712487,-0.7238205,-0.6668861
2.5625625,0.92066956,-0.729551,-0.6528905
2.5725725,0.92415416,-0.73518234,-0.63872445
2.5825825,0.92757744,-0.7407138,-0.6243883
2.5925925,0.93093616,-0.74614114,-0.60988545
2.6026027,0.93422854,-0.7514623,-0.5952166
2.6126127,0.9374517,-0.756674,-0.58038396
2.6226227,0.9406041,-0.7617747,-0.56539154
2.6326327,0.9436835,-0.76676065,-0.55024
2.6426427,0.9466879,-0.7716306,-0.53493243
2.6526527,0.9496151,-0.77638096,-0.51947165
2.6626627,0.9524638,-0.781009,-0.50386083
