epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
125,1.17906,1.154131,0.39432177,0.701836,0.084119536,0.1881434,2.3741539,1.4347663,2.7350333,0.808305,0.40118492,1.7547625,0.07627552
126,1.1782299,1.1522571,0.3930092,0.7003603,0.0832177,0.18683122,2.3846765,1.4364314,2.7414036,0.8090526,0.40110287,1.7558895,0.07450305
127,1.1772618,1.1503607,0.39176193,0.69872546,0.08268497,0.18576314,2.3950987,1.4382432,2.748231,0.8083413,0.40164083,1.7564481,0.07397415
128,1.1764717,1.1482004,0.39125282,0.69643897,0.08225436,0.18462797,2.405431,1.4397206,2.7546432,0.8091869,0.40251926,1.7565447,0.07432735
129,1.1756482,1.1463077,0.3908557,0.6942504,0.08137811,0.18334109,2.415759,1.4412746,2.7610307,0.810191,0.40293163,1.7571571,0.07373125
130,1.1748124,1.1444516,0.38959104,0.69232565,0.08072826,0.18226148,2.4261413,1.4429512,2.7673903,0.81050014,0.40344986,1.7576967,0.07325715
131,1.1740294,1.142427,0.3887426,0.6902525,0.08003588,0.18117885,2.4364786,1.444586,2.7737317,0.8111001,0.40398797,1.7582413,0.07275718
132,1.1731976,1.140569,0.38756183,0.6883228,0.07940762,0.18008776,2.4467099,1.4462706,2.7801352,0.8114413,0.4043837,1.7589377,0.071954526
133,1.1723996,1.1385266,0.38702762,0.68621415,0.078769855,0.17900273,2.4569724,1.4478526,2.7864285,0.812303,0.4050013,1.7593943,0.07164032
134,1.1716366,1.1365756,0.3863597,0.68410444,0.078075655,0.17794676,2.4673395,1.4495068,2.7928345,0.8126555,0.4055731,1.7599684,0.07107547
135,1.1707785,1.1347941,0.38508978,0.6824499,0.0774552,0.17678614,2.4773054,1.4510716,2.7988765,0.8137203,0.40576422,1.7607929,0.069961615
136,1.1699876,1.1329303,0.38399678,0.6806641,0.07678793,0.17565843,2.4875731,1.4526618,2.8050249,0.81487036,0.40617615,1.7615318,0.06914787
137,1.1691813,1.1310203,0.38290364,0.67872393,0.07606648,0.17465709,2.4978511,1.4542239,2.8113186,0.8150125,0.40653947,1.762305,0.06821356
