t,u1,u2,u3
7.197197197197197305e+00,7.686856796634600197e-01,-2.774663199091368382e-01,-1.176318374426102542e+00
7.207207207207207311e+00,7.703043814127762401e-01,-2.865167874735256581e-01,-1.171984414274113595e+00
7.217217217217217318e+00,7.719724034200639018e-01,-2.955585145337670250e-01,-1.167511219197213679e+00
7.227227227227227324e+00,7.736883291253905393e-01,-3.045900270950340216e-01,-1.162896912909392455e+00
7.237237237237237331e+00,7.754507442852867083e-01,-3.136098448455608700e-01,-1.158139685780748440e+00
7.247247247247247337e+00,7.772582369727459861e-01,-3.226164811566428203e-01,-1.153237794837489005e+00
7.257257257257257343e+00,7.791093975772249713e-01,-3.316084430826364837e-01,-1.148189563761930154e+00
7.267267267267267350e+00,7.810028188046431730e-01,-3.405842313609594441e-01,-1.142993382892496967e+00
7.277277277277277356e+00,7.829370956773832324e-01,-3.495423404120905908e-01,-1.137647709223722936e+00
7.287287287287287363e+00,7.849108255342905904e-01,-3.584812583395698971e-01,-1.132151066406250406e+00
7.297297297297297369e+00,7.869226080306739313e-01,-3.673994669299984750e-01,-1.126502044746831022e+00
7.307307307307307376e+00,7.889710451383048495e-01,-3.762954416530386315e-01,-1.120699301208324172e+00
7.317317317317317382e+00,7.910547411454176281e-01,-3.851676516614138679e-01,-1.114741559409699212e+00
7.327327327327327389e+00,7.931723026567101265e-01,-3.940145597909087138e-01,-1.108627609626033461e+00
7.337337337337337395e+00,7.953223385933425593e-01,-4.028346225603690600e-01,-1.102356308788513095e+00
7.347347347347347402e+00,7.975034601929387179e-01,-4.116262901717017142e-01,-1.095926580484433588e+00
7.357357357357357408e+00,7.997142810095849708e-01,-4.203880065098749008e-01,-1.089337414957198380e+00
7.367367367367367414e+00,8.019534169138309299e-01,-4.291182091429177614e-01,-1.082587869106320655e+00
7.377377377377377421e+00,8.042194860926891176e-01,-4.378153293219206876e-01,-1.075677066487421341e+00
7.387387387387387427e+00,8.065111090496348556e-01,-4.464777919810353768e-01,-1.068604197312231108e+00
7.397397397397397434e+00,8.088269086046068201e-01,-4.551040157374744988e-01,-1.061368518448588816e+00
7.407407407407407440e+00,8.111655098940064867e-01,-4.636924128915118071e-01,-1.053969353420441957e+00
7.417417417417417447e+00,8.135255403706983524e-01,-4.722413894264825274e-01,-1.046406092407847543e+00
7.427427427427427453e+00,8.159056298040098243e-01,-4.807493450087827469e-01,-1.038678192246970777e+00
7.437437437437437460e+00,8.183044102797314423e-01,-4.892146729878698030e-01,-1.030785176430085937e+00
7.447447447447447466e+00,8.207205162001166565e-01,-4.976357603962623388e-01,-1.022726635105575488e+00
7.457457457457457473e+00,8.231525842838820495e-01,-5.060109879495399143e-01,-1.014502225077931419e+00
7.467467467467467479e+00,8.255992535662068921e-01,-5.143387300463433398e-01,-1.006111669807754128e+00
7.477477477477477485e+00,8.280591653987338097e-01,-5.226173547683747866e-01,-9.975547594117529782e-01
7.487487487487487492e+00,8.305309634495682269e-01,-5.308452238803973433e-01,-9.888313506627459670e-01
7.497497497497497498e+00,8.330132937032785900e-01,-5.390206928302350153e-01,-9.799413669896597234e-01
7.507507507507507505e+00,8.355048044608962554e-01,-5.471421107487737245e-01,-9.708847984775299533e-01
7.517517517517517511e+00,8.380041463399157120e-01,-5.552078204499597547e-01,-9.616617018675011064e-01
7.527527527527527518e+00,8.405099722742945811e-01,-5.632161584308010838e-01,-9.522722005568261538e-01
7.537537537537537524e+00,8.430209375144529504e-01,-5.711654548713664958e-01,-9.427164845988671438e-01
7.547547547547547531e+00,8.455356996272744841e-01,-5.790540336347862471e-01,-9.329948107030945348e-01
7.557557557557557537e+00,8.480529184961056455e-01,-5.868802122672513999e-01,-9.231075022350881953e-01
7.567567567567567544e+00,8.505712563207556975e-01,-5.946423019980145996e-01,-9.130549492165360714e-01
7.577577577577577550e+00,8.530893776174970355e-01,-6.023386077393892979e-01,-9.028376083252355189e-01
7.587587587587587556e+00,8.556059492190652982e-01,-6.099674280867500853e-01,-8.924560028950919710e-01
7.597597597597597563e+00,8.581196402746585905e-01,-6.175270553185332467e-01,-8.819107229161202710e-01
7.607607607607607569e+00,8.606291222499384830e-01,-6.250157753962353180e-01,-8.712024250344436727e-01
7.617617617617617576e+00,8.631330689270293455e-01,-6.324318679644149732e-01,-8.603318325522943955e-01
7.627627627627627582e+00,8.656301564045185692e-01,-6.397736063506912485e-01,-8.492997354280134026e-01
7.637637637637637589e+00,8.681190630974564559e-01,-6.470392575657448742e-01,-8.381069902760502899e-01
7.647647647647647595e+00,8.705984697373565506e-01,-6.542270823033173865e-01,-8.267545203669637299e-01
7.657657657657657602e+00,8.730670593721949757e-01,-6.613353349402115722e-01,-8.152433156274208059e-01
7.667667667667667608e+00,8.755235173664113191e-01,-6.683622635362916897e-01,-8.035744326401975668e-01
7.677677677677677615e+00,8.779665314009078569e-01,-6.753061098344826929e-01,-7.917489946441791382e-01
7.687687687687687621e+00,8.803947914730498869e-01,-6.821651092607710076e-01,-7.797681915343587233e-01
7.697697697697697627e+00,8.828069898966658391e-01,-6.889374909242039768e-01,-7.676332798618389353e-01
7.707707707707707634e+00,8.852018213020471649e-01,-6.956214776168903047e-01,-7.553455828338310196e-01
7.717717717717717640e+00,8.875779826359478930e-01,-7.022152858139997234e-01,-7.429064903136548548e-01
7.727727727727727647e+00,8.899341731615857398e-01,-7.087171256737633263e-01,-7.303174588207388407e-01
7.737737737737737653e+00,8.922690944586406658e-01,-7.151252010374731238e-01,-7.175800115306210092e-01
7.747747747747747660e+00,8.945814504232563191e-01,-7.214377094294823767e-01,-7.046957382749472476e-01
7.757757757757757666e+00,8.968699472680388141e-01,-7.276528420572054845e-01,-6.916662955414729641e-01
7.767767767767767673e+00,8.991332935220575084e-01,-7.337687838111177641e-01,-6.784934064740617554e-01
7.777777777777777679e+00,9.013702000308447815e-01,-7.397837132647564484e-01,-6.651788608726862950e-01
7.787787787787787686e+00,9.035793799563958117e-01,-7.456958026747193546e-01,-6.517245151934280001e-01
7.797797797797797692e+00,9.057595487771690212e-01,-7.515032179806653279e-01,-6.381322925484770314e-01
7.807807807807807698e+00,9.079094242880856314e-01,-7.572041188053144634e-01,-6.244041827061322936e-01
7.817817817817817705e+00,9.100277266005299959e-01,-7.627966584544486617e-01,-6.105422420908017678e-01
7.827827827827827711e+00,9.121131781423493790e-01,-7.682789839169097412e-01,-5.965485937830016239e-01
7.837837837837837718e+00,9.141645036578540662e-01,-7.736492358646019918e-01,-5.824254275193573305e-01
7.847847847847847724e+00,9.161804302078172535e-01,-7.789055486524900651e-01,-5.681749996926030999e-01
7.857857857857857731e+00,9.181596871694752693e-01,-7.840460503185997521e-01,-5.537996333515814440e-01
7.867867867867867737e+00,9.201010062365274633e-01,-7.890688625840184267e-01,-5.393017182012443955e-01
7.877877877877877744e+00,9.220031214191359847e-01,-7.939721008528944912e-01,-5.246837106026521758e-01
7.887887887887887750e+00,9.238647690439261151e-01,-7.987538742124372648e-01,-5.099481335729738607e-01
7.897897897897897757e+00,9.256846877539860463e-01,-8.034122854329173169e-01,-4.950975767854876031e-01
7.907907907907907763e+00,9.274616185088671028e-01,-8.079454309676668000e-01,-4.801346965695801883e-01
7.917917917917917769e+00,9.291943045845836302e-01,-8.123514009530781177e-01,-4.650622159107469233e-01
7.927927927927927776e+00,9.308814915736125517e-01,-8.166282792086057007e-01,-4.498829244505924141e-01
7.937937937937937782e+00,9.325219273848943669e-01,-8.207741432367651191e-01,-4.345996784868294549e-01
7.947947947947947789e+00,9.341143622438322636e-01,-8.247870642231320826e-01,-4.192154009732801390e-01
7.957957957957957795e+00,9.356575486922923401e-01,-8.286651070363447724e-01,-4.037330815198748590e-01
7.967967967967967802e+00,9.371502415886039383e-01,-8.324063302281017318e-01,-3.881557763926534177e-01
7.977977977977977808e+00,9.385911981075591992e-01,-8.360087860331627541e-01,-3.724866085137636951e-01
7.987987987987987815e+00,9.399791777404133963e-01,-8.394705203693492157e-01,-3.567287674614628701e-01
7.997997997997997821e+00,9.413129422948846026e-01,-8.427895728375429663e-01,-3.408855094701166433e-01
8.008008008008008716e+00,9.425912558951541342e-01,-8.459639767216878825e-01,-3.249601574301981266e-01
8.018018018018018722e+00,9.438128849818662180e-01,-8.489917589887878702e-01,-3.089561008882933946e-01
8.028028028028028729e+00,9.449765983121278801e-01,-8.518709402889088622e-01,-2.928767960470932685e-01
8.038038038038038735e+00,9.460811669595092788e-01,-8.545995349551778197e-01,-2.767257657653987568e-01
8.048048048048048742e+00,9.471253643140437051e-01,-8.571755510037827319e-01,-2.605065995581190563e-01
8.058058058058058748e+00,9.481079660822273603e-01,-8.595969901339727270e-01,-2.442229535962732179e-01
8.068068068068068754e+00,9.490277502870193560e-01,-8.618618477280580725e-01,-2.278785507069878147e-01
8.078078078078078761e+00,9.498834972678418254e-01,-8.639681128514103969e-01,-2.114771803734994959e-01
8.088088088088088767e+00,9.506739896805800338e-01,-8.659137682524623569e-01,-1.950226987351521002e-01
8.098098098098098774e+00,9.513980124975818242e-01,-8.676967903627074152e-01,-1.785190285874005411e-01
8.108108108108108780e+00,9.520512978227032574e-01,-8.693136436027586456e-01,-1.619672658181086078e-01
8.118118118118118787e+00,9.526294447333287785e-01,-8.707617881131831661e-01,-1.453679928675219446e-01
8.128128128128128793e+00,9.531334461533874647e-01,-8.720420623911064872e-01,-1.287265679135522478e-01
8.138138138138138800e+00,9.535643400139820480e-01,-8.731553418965350977e-01,-1.120483186376725337e-01
8.148148148148148806e+00,9.539231627124167279e-01,-8.741025128279462653e-01,-9.533849941744496070e-02
8.158158158158158813e+00,9.542109491121973930e-01,-8.748844721222892584e-01,-7.860229132652053752e-02
8.168168168168168819e+00,9.544287325430315105e-01,-8.755021274549845689e-01,-6.184480213463927623e-02
8.178178178178178825e+00,9.545775448008284592e-01,-8.759563972399239118e-01,-4.507106630763027533e-02
8.188188188188188832e+00,9.546584161476989738e-01,-8.762482106294707807e-01,-2.828604500741146999e-02
8.198198198198198838e+00,9.546723753119557010e-01,-8.763785075144598924e-01,-1.149462609198986796e-02
8.208208208208208845e+00,9.546204494881128655e-01,-8.763482385241972983e-01,5.298375884538519820e-03
8.218218218218218851e+00,9.545036643368863816e-01,-8.761583650264607170e-01,2.208821967198879022e-02
8.228228228228228858e+00,9.543230439851938529e-01,-8.758098591274992017e-01,3.887023732408703691e-02
8.238238238238238864e+00,9.540796110261544616e-01,-8.753037036720330288e-01,5.563983419847021161e-02
8.248248248248248871e+00,9.537743865190891901e-01,-8.746408922432543642e-01,7.239248895668651262e-02
8.258258258258258877e+00,9.534083899895204883e-01,-8.738224291628263751e-01,8.912375356419499628e-02
8.268268268268268884e+00,9.529826394291727176e-01,-8.728493294908836742e-01,1.058292532903658545e-01
8.278278278278278890e+00,9.524981512959718177e-01,-8.717226190260326524e-01,1.225046867084800817e-01
8.288288288288288896e+00,9.519559405140453068e-01,-8.704433343053507022e-01,1.391458256957300299e-01
8.298298298298298903e+00,9.513570204737225033e-01,-8.690125226043869944e-01,1.557485154332187149e-01
8.308308308308308909e+00,9.507024030315341934e-01,-8.674312419371619232e-01,1.723086744059604269e-01
8.318318318318318916e+00,9.499930985102131853e-01,-8.657005610561673281e-01,1.888222944028803973e-01
8.328328328328328922e+00,9.492301156986935329e-01,-8.638215594523666052e-01,2.052854405168147434e-01
8.338338338338338929e+00,9.484144618521113124e-01,-8.617953273551943738e-01,2.216942511445107455e-01
8.348348348348348935e+00,9.475471426918040674e-01,-8.596229657325568096e-01,2.380449379866267368e-01
8.358358358358358942e+00,9.466291624053111420e-01,-8.573055862908314229e-01,2.543337860477320467e-01
8.368368368368368948e+00,9.456615236463733476e-01,-8.548443114748673910e-01,2.705571536363066132e-01
8.378378378378378954e+00,9.446452275349334071e-01,-8.522402744679850040e-01,2.867114723647420371e-01
8.388388388388388961e+00,9.435812736571356218e-01,-8.494946191919762191e-01,3.027932471493405830e-01
8.398398398398398967e+00,9.424706600653258715e-01,-8.466085003071043280e-01,3.187990562103156789e-01
8.408408408408408974e+00,9.413143832780517251e-01,-8.435830832121038458e-01,3.347255510717914717e-01
8.418418418418418980e+00,9.401134382800625522e-01,-8.404195440441811771e-01,3.505694565618034941e-01
8.428428428428428987e+00,9.388688185223093008e-01,-8.371190696790137276e-01,3.663275708122981644e-01
8.438438438438438993e+00,9.375815159219444972e-01,-8.336828577307504595e-01,3.819967652591327312e-01
8.448448448448449000e+00,9.362525208623225792e-01,-8.301121165520120027e-01,3.975739846420759394e-01
8.458458458458459006e+00,9.348828221929994520e-01,-8.264080652338899879e-01,4.130562470048066981e-01
8.468468468468469013e+00,9.334734072297328211e-01,-8.225719336059477138e-01,4.284406436949158570e-01
8.478478478478479019e+00,9.320252617544817486e-01,-8.186049622362200351e-01,4.437243393639048739e-01
