epoch,parameter1,parameter2,parameter3,parameter4
252,2.4680955,-0.057922166,0.3188209,-0.15180588
253,2.4692504,-0.05809906,0.3189206,-0.15357174
254,2.470341,-0.05820359,0.3190068,-0.15524416
255,2.4715145,-0.058475353,0.31914034,-0.1568701
256,2.4726152,-0.058599137,0.31921673,-0.1585126
257,2.4737003,-0.0587335,0.3193029,-0.16005687
258,2.4747934,-0.058917142,0.31940785,-0.16155866
259,2.4758837,-0.0591295,0.31952956,-0.1629615
260,2.4769032,-0.059217725,0.31960863,-0.16437395
261,2.477944,-0.059348907,0.3196946,-0.16579391
262,2.4789648,-0.05947062,0.31978065,-0.16717471
263,2.479946,-0.059539054,0.3198531,-0.16848293
264,2.4809911,-0.05975365,0.31997263,-0.16974634
265,2.4819634,-0.05983204,0.32003835,-0.17101397
266,2.482898,-0.05983696,0.32007125,-0.17229731
267,2.483839,-0.059886917,0.32012492,-0.17350577
268,2.484806,-0.06002681,0.3202156,-0.1745976
269,2.4857228,-0.060105287,0.32029235,-0.17563665
270,2.4866598,-0.060234513,0.320381,-0.17666836
271,2.4875734,-0.060332693,0.32046032,-0.17763986
272,2.4884837,-0.06043671,0.3205399,-0.17858334
273,2.4893413,-0.06046084,0.32059237,-0.17952488
274,2.4902692,-0.060639527,0.3207027,-0.18038821
275,2.4911232,-0.06067335,0.32075733,-0.18124616
276,2.4919412,-0.060644206,0.32078797,-0.18210426
277,2.4927905,-0.06070258,0.32084903,-0.18296936
278,2.4936028,-0.060703117,0.32089174,-0.18376897
279,2.4944606,-0.060793284,0.32096782,-0.18455912
280,2.4952164,-0.060705792,0.3209818,-0.1852844
281,2.4960697,-0.06084456,0.32107112,-0.18595162
282,2.4968865,-0.060928375,0.32114267,-0.18660657
283,2.4976568,-0.06093663,0.32119536,-0.18723167
284,2.4984398,-0.06097297,0.32125512,-0.1878108
285,2.4991996,-0.060965866,0.32129577,-0.18842186
286,2.4999676,-0.060981505,0.32135025,-0.18895492
287,2.500753,-0.061046567,0.32142347,-0.1894586
288,2.501478,-0.06101163,0.32146776,-0.1899165
289,2.502258,-0.06108842,0.3215496,-0.19036287
290,2.502977,-0.061068848,0.32160234,-0.19078533
291,2.503698,-0.06106946,0.32166663,-0.19118574
292,2.5043852,-0.060992945,0.32169726,-0.19158745
293,2.5050845,-0.06095312,0.32174006,-0.19197871
294,2.5057929,-0.060938146,0.3217885,-0.19234757
295,2.5064816,-0.060904194,0.3218388,-0.19268256
296,2.5071115,-0.060780294,0.32186866,-0.19294772
297,2.5077703,-0.060714006,0.32190818,-0.19328529
298,2.508417,-0.060632054,0.32193506,-0.19363426
299,2.509038,-0.06052072,0.3219493,-0.19393528
300,2.509714,-0.060524393,0.32199484,-0.19417927
301,2.5103507,-0.060461797,0.3220251,-0.19436464
302,2.511052,-0.060518675,0.32209194,-0.19457126
303,2.5116558,-0.06039267,0.32209286,-0.19470872
304,2.5122883,-0.060337458,0.32211164,-0.19483323
305,2.5129845,-0.06042201,0.32218015,-0.1949592
306,2.5136495,-0.060463067,0.32224303,-0.19503222
307,2.514241,-0.06036811,0.32226896,-0.19507155
308,2.5148787,-0.06036244,0.3223211,-0.19514476
309,2.5154724,-0.06026774,0.3223394,-0.19529025
310,2.5160768,-0.060191397,0.32236367,-0.19546299
311,2.5166636,-0.060077053,0.32237568,-0.1955516
312,2.5172367,-0.059948213,0.32239237,-0.19556746
313,2.5178666,-0.05994071,0.32244724,-0.19552569
314,2.5185354,-0.06001295,0.32252622,-0.19547653
315,2.5191522,-0.05999125,0.32257333,-0.19544595
316,2.5197177,-0.059875187,0.32258266,-0.1953914
