t,u1,u2,f1,f2
2.8528528,2.1637607,0.9003804,0.4033134,-0.4985838
2.8628628,2.169994,0.895033,0.40237838,-0.4981086
2.8728728,2.1765096,0.88961864,0.4014883,-0.49760905
2.8828828,2.1832983,0.8841444,0.4006426,-0.4970864
2.8928928,2.1903512,0.87861615,0.39984027,-0.49654165
2.9029028,2.1976588,0.87304103,0.39908123,-0.4959765
2.9129128,2.2052116,0.8674255,0.39836478,-0.4953923
2.9229228,2.2129989,0.8617762,0.3976897,-0.49478948
2.9329329,2.221011,0.8561006,0.39705646,-0.49417
2.9429429,2.2292368,0.8504056,0.3964636,-0.49353537
2.9529529,2.2376654,0.84469825,0.39591032,-0.4928869
2.9629629,2.2462854,0.8389858,0.3953955,-0.49222606
2.9729729,2.255085,0.8332758,0.3949189,-0.49155468
2.9829829,2.2640538,0.82757515,0.39447924,-0.49087387
2.9929929,2.273179,0.8218916,0.39407575,-0.4901852
3.0030031,2.2824495,0.81623155,0.3937073,-0.4894901
3.0130131,2.2918525,0.8106032,0.39337292,-0.48879057
3.0230231,2.3013773,0.8050129,0.39307168,-0.48808765
3.0330331,2.311011,0.7994685,0.39280248,-0.4873831
3.0430431,2.3207426,0.79397595,0.39256397,-0.4866784
3.0530531,2.33056,0.7885425,0.39235538,-0.4859752
3.0630631,2.3404517,0.783175,0.3921757,-0.4852748
3.0730731,2.3504062,0.77787966,0.3920239,-0.4845789
3.0830832,2.3604124,0.77266276,0.39189848,-0.48388863
3.0930932,2.3704596,0.7675303,0.39179868,-0.4832058
3.1031032,2.3805368,0.76248825,0.39172333,-0.48253155
3.1131132,2.3906329,0.75754195,0.39167112,-0.48186743
3.1231232,2.4007378,0.7526972,0.3916412,-0.48121434
3.1331332,2.4108427,0.74795854,0.39163256,-0.48057413
3.1431432,2.4209368,0.74333125,0.39164382,-0.4799478
3.1531532,2.4310114,0.73881984,0.39167434,-0.47933632
3.1631632,2.4410574,0.7344281,0.39172286,-0.4787408
3.1731732,2.4510663,0.7301603,0.3917883,-0.47816277
3.1831832,2.4610298,0.7260199,0.39186934,-0.4776023
3.1931932,2.4709406,0.72201025,0.39196587,-0.47706166
3.2032032,2.4807909,0.71813434,0.39207628,-0.47654048
3.2132132,2.4905736,0.7143951,0.39219934,-0.47604033
3.2232232,2.5002825,0.71079475,0.39233488,-0.47556165
3.2332332,2.5099108,0.70733494,0.39248163,-0.47510496
3.2432432,2.5194528,0.7040182,0.39263812,-0.4746715
3.2532532,2.5289032,0.70084536,0.39280438,-0.47426152
3.2632632,2.538257,0.6978176,0.39297906,-0.47387546
3.2732732,2.5475087,0.6949359,0.39316106,-0.47351393
3.2832832,2.5566547,0.6922015,0.39335012,-0.47317702
